model,ensemble_size,hidden_layers,hidden_units,weight_decay,data_noise,epochs,optimizer,loss_fn,learning_rate,ENCE,GNLLL,RMSE
batch,10,8,32,1e-05,,1000,Adam,GaussianNLLLoss,0.001,,2.459264357884725,6.984033584594727
batch,10,8,64,0.01,,1000,Adam,GaussianNLLLoss,0.001,,3.1207114855448403,6.630124409993489
batch,10,8,64,0.001,,1000,Adam,GaussianNLLLoss,0.001,,3.237133502960205,6.8701497713724775
batch,10,8,64,0.0001,,1000,Adam,GaussianNLLLoss,0.001,,3.0890467961629233,6.463627020517985
batch,10,8,64,1e-05,,1000,Adam,GaussianNLLLoss,0.001,,2.9705835978190103,6.411987940470378
batch,10,8,128,0.01,,1000,Adam,GaussianNLLLoss,0.001,,4.019234736760457,6.031339327494304
batch,10,8,128,0.001,,1000,Adam,GaussianNLLLoss,0.001,,4.118065198262532,5.996624151865642
batch,10,8,128,0.0001,,1000,Adam,GaussianNLLLoss,0.001,,3.342491547266642,6.187048435211182
batch,10,8,128,1e-05,,1000,Adam,GaussianNLLLoss,0.001,,3.788668950398763,6.093788146972656
batch,10,9,32,0.01,,1000,Adam,GaussianNLLLoss,0.001,,2.665450096130371,7.434218406677246
batch,10,9,32,0.001,,1000,Adam,GaussianNLLLoss,0.001,,2.660332202911377,7.445218563079834
batch,10,9,32,0.0001,,1000,Adam,GaussianNLLLoss,0.001,,2.566946268081665,7.106798807779948
batch,10,9,32,1e-05,,1000,Adam,GaussianNLLLoss,0.001,,2.543090581893921,7.017881552378337
batch,10,9,64,0.01,,1000,Adam,GaussianNLLLoss,0.001,,3.1280508041381836,6.457973003387451
batch,10,9,64,0.001,,1000,Adam,GaussianNLLLoss,0.001,,2.954240004221598,6.594672044118245
batch,10,9,64,0.0001,,1000,Adam,GaussianNLLLoss,0.001,,3.357381900151571,6.562980492909749
batch,10,9,64,1e-05,,1000,Adam,GaussianNLLLoss,0.001,,3.0032984415690103,6.487886269887288
batch,10,9,128,0.01,,1000,Adam,GaussianNLLLoss,0.001,,3.819531202316284,5.9613111813863116
batch,10,9,128,0.001,,1000,Adam,GaussianNLLLoss,0.001,,3.6833662192026773,5.888752142588298
batch,10,9,128,0.0001,,1000,Adam,GaussianNLLLoss,0.001,,4.364977757136027,6.034258524576823
batch,10,9,128,1e-05,,1000,Adam,GaussianNLLLoss,0.001,,4.428567171096802,6.3127867380778
batch,10,10,32,0.01,,1000,Adam,GaussianNLLLoss,0.001,,2.6026642322540283,7.123630364735921
batch,10,10,32,0.001,,1000,Adam,GaussianNLLLoss,0.001,,2.655224164326986,6.847389380137126
batch,10,10,32,0.0001,,1000,Adam,GaussianNLLLoss,0.001,,2.5977632204691568,7.165572961171468
batch,10,10,32,1e-05,,1000,Adam,GaussianNLLLoss,0.001,,2.601003090540568,6.934956232706706
batch,10,10,64,0.01,,1000,Adam,GaussianNLLLoss,0.001,,2.948617696762085,6.40179427464803
batch,10,10,64,0.001,,1000,Adam,GaussianNLLLoss,0.001,,3.131167491277059,6.74050776163737
batch,10,10,64,0.0001,,1000,Adam,GaussianNLLLoss,0.001,,3.0567688941955566,6.650472164154053
batch,10,10,64,1e-05,,1000,Adam,GaussianNLLLoss,0.001,,3.086643616358439,6.5905632972717285
batch,10,10,128,0.01,,1000,Adam,GaussianNLLLoss,0.001,,4.070416212081909,5.857677459716797
batch,10,10,128,0.001,,1000,Adam,GaussianNLLLoss,0.001,,4.048613468805949,6.292539755503337
batch,10,10,128,0.0001,,1000,Adam,GaussianNLLLoss,0.001,,3.997487703959147,6.137687047322591
batch,10,10,128,1e-05,,1000,Adam,GaussianNLLLoss,0.001,,3.476388374964396,5.843685309092204
anchored_batch,10,2,32,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.7809768517812095,10.256437301635742
anchored_batch,10,2,32,,0.001,1000,Adam,GaussianNLLLoss,0.001,,2.4835076332092285,7.303784529368083
anchored_batch,10,2,32,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,2.5266060829162598,6.85729185740153
anchored_batch,10,2,32,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,2.516761302947998,6.912351131439209
anchored_batch,10,2,64,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.7234946886698403,9.385593096415201
anchored_batch,10,2,64,,0.001,1000,Adam,GaussianNLLLoss,0.001,,8.364960432052612,7.2673446337382
anchored_batch,10,2,64,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,4.7985843022664385,6.737098693847656
anchored_batch,10,2,64,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,12.21438201268514,6.589540163675944
anchored_batch,10,2,128,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.734185536702474,9.097137769063314
anchored_batch,10,2,128,,0.001,1000,Adam,GaussianNLLLoss,0.001,,2.604720115661621,6.5752410888671875
anchored_batch,10,2,128,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,10.712951501210531,5.882968266805013
anchored_batch,10,2,128,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,8.87481689453125,5.776899814605713
anchored_batch,10,3,32,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.7215213775634766,9.794045766194662
anchored_batch,10,3,32,,0.001,1000,Adam,GaussianNLLLoss,0.001,,2.4521854718526206,6.989204088846843
anchored_batch,10,3,32,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,2.4701754252115884,6.753456433614095
anchored_batch,10,3,32,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,3.0441606044769287,6.638282775878906
anchored_batch,10,3,64,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.5665622552235923,8.22006622950236
anchored_batch,10,3,64,,0.001,1000,Adam,GaussianNLLLoss,0.001,,2.519476811091105,6.738234678904216
anchored_batch,10,3,64,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,4.21978759765625,6.37582794825236
anchored_batch,10,3,64,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,5.484323501586914,6.156869093577067
anchored_batch,10,3,128,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.664165496826172,7.675887902577718
anchored_batch,10,3,128,,0.001,1000,Adam,GaussianNLLLoss,0.001,,3.658301512400309,6.196139653523763
anchored_batch,10,3,128,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,17.761252482732136,5.907707214355469
anchored_batch,10,3,128,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,15.592329819997152,5.873912334442139
anchored_batch,10,4,32,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.550469001134237,7.93637212117513
anchored_batch,10,4,32,,0.001,1000,Adam,GaussianNLLLoss,0.001,,2.4832869370778403,7.302027066548665
anchored_batch,10,4,32,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,2.5813870429992676,6.960648536682129
anchored_batch,10,4,32,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,3.5813966592152915,6.834798336029053
anchored_batch,10,4,64,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.538370052973429,7.573564529418945
anchored_batch,10,4,64,,0.001,1000,Adam,GaussianNLLLoss,0.001,,2.83976141611735,6.43697452545166
anchored_batch,10,4,64,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,4.2413904666900635,5.988715648651123
anchored_batch,10,4,64,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,10.562490940093994,5.97155237197876
anchored_batch,10,4,128,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.6078224976857505,7.2438333829243975
anchored_batch,10,4,128,,0.001,1000,Adam,GaussianNLLLoss,0.001,,3.5490339597066245,5.960526784261067
anchored_batch,10,4,128,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,11.671838283538818,5.781195322672526
anchored_batch,10,4,128,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,15.601450602213541,5.755360921223958
anchored_batch,10,5,32,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.5312208334604898,7.714489142100017
anchored_batch,10,5,32,,0.001,1000,Adam,GaussianNLLLoss,0.001,,2.433128833770752,6.646849950154622
anchored_batch,10,5,32,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,2.587287346522013,6.213606993357341
